institusjonskode	budsjettår
0212	2020
0215	2020
0217	2020
0221	2020
0222	2020
0232	2020
0233	2020
0235	2020
0236	2020
0237	2020
0238	2020
0252	2020
0254	2020
0256	2020
0257	2020
0259	2020
0261	2020
0262	2020
0263	2020
0264	2020
1110	2020
1120	2020
1130	2020
1150	2020
1160	2020
1171	2020
1173	2020
1174	2020
1175	2020
1176	2020
1210	2020
1220	2020
1240	2020
1260	2020
6220	2020
8202	2020
8208	2020
8221	2020
8223	2020
8224	2020
8225	2020
8227	2020
8228	2020
8232	2020
8234	2020
8241	2020
8243	2020
8247	2020
8248	2020
8249	2020
8252	2020
8253	2020
