institusjonskode	budsjettår	indikator
1220	2020	publisering
6220	2020	studiepoeng
1210	2020	publisering
8232	2020	EU
8224	2020	EU
8234	2020	EU
8202	2020	EU
8223	2020	EU
8227	2020	doktorgrader
8243	2020	doktorgrader
8247	2020	EU
8248	2020	EU
8228	2020	doktorgrader
8225	2020	EU
1220	2020	EU
6220	2020	kandidater
1210	2020	EU
8232	2020	forskningsråd
8224	2020	forskningsråd
8234	2020	forskningsråd
8202	2020	forskningsråd
8223	2020	forskningsråd
8227	2020	publisering
8243	2020	publisering
8247	2020	forskningsråd
8248	2020	forskningsråd
8228	2020	publisering
8225	2020	forskningsråd
1220	2020	forskningsråd
6220	2020	utveksling
1210	2020	forskningsråd
8232	2020	BOA
8224	2020	BOA
8234	2020	BOA
8202	2020	BOA
8223	2020	BOA
8227	2020	EU
8243	2020	EU
8247	2020	BOA
8248	2020	BOA
8228	2020	EU
8225	2020	BOA
1220	2020	BOA
6220	2020	publisering
1210	2020	BOA
8227	2020	forskningsråd
8243	2020	forskningsråd
8228	2020	forskningsråd
6220	2020	EU
8227	2020	BOA
8243	2020	BOA
8228	2020	BOA
6220	2020	forskningsråd
6220	2020	BOA
